#B	Created:	14.09.2017 00:01:50
##	Version	SeaStar	7.49
#5	Field separation:	0
#2	Date & Time:	1
#6	Decimal point:	,
#7	Date def.:	dd.mm.yyyy	.
#8	Time def.:	:
##	Axis	0	Temperature(°C)	clRed	FALSE
##	Axis	1	Depth(m)	clBlue	TRUE
##	Series	0	Temp(°C)	clRed	0	Temp(°C)	2
##	Series	1	Depth(m)	clBlue	1	Depth(m)	2
##	Recorder	31	DST centi	8762
##	Chart	31C8762DAT	
#D	Data:	789	13.09.2017 21:50:00	14.09.2017 00:01:20
1	13.09.2017 21:50:00,000	23,53	0,36
2	13.09.2017 21:50:10,000	23,53	0,36
3	13.09.2017 21:50:20,000	23,53	0,36
4	13.09.2017 21:50:30,000	23,50	0,57
5	13.09.2017 21:50:40,000	23,50	0,57
6	13.09.2017 21:50:50,000	23,50	0,57
7	13.09.2017 21:51:00,000	23,50	0,33
8	13.09.2017 21:51:10,000	23,50	0,57
9	13.09.2017 21:51:20,000	23,47	0,53
10	13.09.2017 21:51:30,000	23,47	0,53
11	13.09.2017 21:51:40,000	23,47	0,53
12	13.09.2017 21:51:50,000	23,47	0,53
13	13.09.2017 21:52:00,000	23,44	0,50
14	13.09.2017 21:52:10,000	23,44	0,50
15	13.09.2017 21:52:20,000	23,44	0,50
16	13.09.2017 21:52:30,000	23,41	0,46
17	13.09.2017 21:52:40,000	23,41	0,46
18	13.09.2017 21:52:50,000	23,38	0,67
19	13.09.2017 21:53:00,000	23,38	0,43
20	13.09.2017 21:53:10,000	23,35	0,40
21	13.09.2017 21:53:20,000	23,35	0,40
22	13.09.2017 21:53:30,000	23,32	0,60
23	13.09.2017 21:53:40,000	23,32	0,60
24	13.09.2017 21:53:50,000	23,29	0,57
25	13.09.2017 21:54:00,000	23,27	0,29
26	13.09.2017 21:54:10,000	23,24	0,50
27	13.09.2017 21:54:20,000	23,21	0,71
28	13.09.2017 21:54:30,000	23,18	0,67
29	13.09.2017 21:54:40,000	23,15	0,64
30	13.09.2017 21:54:50,000	23,12	0,61
31	13.09.2017 21:55:00,000	23,09	0,57
32	13.09.2017 21:55:10,000	23,03	0,75
33	13.09.2017 21:55:20,000	23,00	0,71
34	13.09.2017 21:55:30,000	22,98	0,68
35	13.09.2017 21:55:40,000	22,92	0,61
36	13.09.2017 21:55:50,000	22,89	0,82
37	13.09.2017 21:56:00,000	22,86	0,54
38	13.09.2017 21:56:10,000	22,80	0,71
39	13.09.2017 21:56:20,000	22,77	0,68
40	13.09.2017 21:56:30,000	22,71	0,85
41	13.09.2017 21:56:40,000	22,66	0,78
42	13.09.2017 21:56:50,000	22,63	0,75
43	13.09.2017 21:57:00,000	22,57	0,68
