#B	Created:	03.09.2017 23:54:12
##	Version	SeaStar	7.49
#5	Field separation:	0
#2	Date & Time:	1
#6	Decimal point:	,
#7	Date def.:	dd.mm.yyyy	.
#8	Time def.:	:
##	Axis	0	Temperature(°C)	clRed	FALSE
##	Axis	1	Depth(m)	clBlue	TRUE
##	Series	0	Temp(°C)	clRed	0	Temp(°C)	2
##	Series	1	Depth(m)	clBlue	1	Depth(m)	2
##	Recorder	10	DST centi	8762
##	Chart	10C8762DAT	
#D	Data:	1041	03.09.2017 21:00:00	03.09.2017 23:53:20
1	03.09.2017 21:00:00,000	20,88	0,86
2	03.09.2017 21:00:10,000	20,88	0,86
3	03.09.2017 21:00:20,000	20,88	0,86
4	03.09.2017 21:00:30,000	20,88	1,10
5	03.09.2017 21:00:40,000	20,88	1,10
6	03.09.2017 21:00:50,000	20,88	0,86
7	03.09.2017 21:01:00,000	20,88	0,86
8	03.09.2017 21:01:10,000	20,88	1,10
9	03.09.2017 21:01:20,000	20,88	0,86
10	03.09.2017 21:01:30,000	20,88	0,86
11	03.09.2017 21:01:40,000	20,88	0,86
12	03.09.2017 21:01:50,000	20,88	0,86
13	03.09.2017 21:02:00,000	20,88	0,86
14	03.09.2017 21:02:10,000	20,88	1,10
15	03.09.2017 21:02:20,000	20,88	0,86
16	03.09.2017 21:02:30,000	20,88	0,86
17	03.09.2017 21:02:40,000	20,88	1,10
18	03.09.2017 21:02:50,000	20,88	0,86
19	03.09.2017 21:03:00,000	20,88	0,86
20	03.09.2017 21:03:10,000	20,88	1,10
21	03.09.2017 21:03:20,000	20,88	0,86
22	03.09.2017 21:03:30,000	20,88	0,86
23	03.09.2017 21:03:40,000	20,88	0,86
24	03.09.2017 21:03:50,000	20,85	1,07
25	03.09.2017 21:04:00,000	20,06	5,66
26	03.09.2017 21:04:10,000	13,40	15,69
27	03.09.2017 21:04:20,000	11,04	16,41
28	03.09.2017 21:04:30,000	9,73	15,75
29	03.09.2017 21:04:40,000	8,89	15,44
30	03.09.2017 21:04:50,000	8,25	16,57
31	03.09.2017 21:05:00,000	7,73	18,34
32	03.09.2017 21:05:10,000	7,11	20,46
33	03.09.2017 21:05:20,000	6,47	22,32
34	03.09.2017 21:05:30,000	5,94	23,83
35	03.09.2017 21:05:40,000	5,25	25,39
36	03.09.2017 21:05:50,000	4,26	25,13
37	03.09.2017 21:06:00,000	4,30	23,25
38	03.09.2017 21:06:10,000	4,19	23,59
39	03.09.2017 21:06:20,000	3,70	23,95
40	03.09.2017 21:06:30,000	3,81	22,89
41	03.09.2017 21:06:40,000	3,85	22,45
42	03.09.2017 21:06:50,000	3,74	23,52
43	03.09.2017 21:07:00,000	3,32	25,18
44	03.09.2017 21:07:10,000	2,94	26,64
45	03.09.2017 21:07:20,000	2,32	27,81
46	03.09.2017 21:07:30,000	1,89	27,76
47	03.09.2017 21:07:40,000	1,69	27,28
48	03.09.2017 21:07:50,000	1,65	26,75
49	03.09.2017 21:08:00,000	1,65	26,03
50	03.09.2017 21:08:10,000	1,69	25,60
51	03.09.2017 21:08:20,000	1,89	25,35
52	03.09.2017 21:08:30,000	1,97	24,97
53	03.09.2017 21:08:40,000	2,01	25,02
54	03.09.2017 21:08:50,000	2,01	25,02
55	03.09.2017 21:09:00,000	2,01	25,02
56	03.09.2017 21:09:10,000	2,05	24,82
57	03.09.2017 21:09:20,000	2,13	25,16
58	03.09.2017 21:09:30,000	2,16	24,97
59	03.09.2017 21:09:40,000	2,16	25,45
60	03.09.2017 21:09:50,000	2,13	25,88
61	03.09.2017 21:10:00,000	2,05	26,75
62	03.09.2017 21:10:10,000	1,81	28,15
63	03.09.2017 21:10:20,000	1,46	29,64
64	03.09.2017 21:10:30,000	1,42	30,56
65	03.09.2017 21:10:40,000	1,22	32,01
66	03.09.2017 21:10:50,000	1,06	33,50
67	03.09.2017 21:11:00,000	0,81	34,17
68	03.09.2017 21:11:10,000	0,57	34,84
69	03.09.2017 21:11:20,000	0,41	35,13
70	03.09.2017 21:11:30,000	0,29	35,46
71	03.09.2017 21:11:40,000	0,20	35,36
72	03.09.2017 21:11:50,000	0,20	35,36
73	03.09.2017 21:12:00,000	0,16	35,32
74	03.09.2017 21:12:10,000	0,12	35,27
75	03.09.2017 21:12:20,000	0,12	35,27
76	03.09.2017 21:12:30,000	0,08	34,98
77	03.09.2017 21:12:40,000	0,08	34,73
78	03.09.2017 21:12:50,000	0,12	34,30
79	03.09.2017 21:13:00,000	0,16	33,63
80	03.09.2017 21:13:10,000	0,16	33,15
81	03.09.2017 21:13:20,000	0,25	32,52
82	03.09.2017 21:13:30,000	0,25	31,56
83	03.09.2017 21:13:40,000	0,49	30,65
84	03.09.2017 21:13:50,000	0,65	29,88
85	03.09.2017 21:14:00,000	0,73	29,49
86	03.09.2017 21:14:10,000	0,53	29,01
87	03.09.2017 21:14:20,000	0,49	29,20
88	03.09.2017 21:14:30,000	0,57	29,30
89	03.09.2017 21:14:40,000	0,73	29,49
90	03.09.2017 21:14:50,000	0,61	29,59
91	03.09.2017 21:15:00,000	0,57	29,06
92	03.09.2017 21:15:10,000	0,57	29,06
93	03.09.2017 21:15:20,000	0,57	28,82
94	03.09.2017 21:15:30,000	0,57	28,57
95	03.09.2017 21:15:40,000	0,61	28,62
96	03.09.2017 21:15:50,000	0,65	28,19
97	03.09.2017 21:16:00,000	1,02	27,42
98	03.09.2017 21:16:10,000	1,26	27,72
99	03.09.2017 21:16:20,000	1,34	27,81
100	03.09.2017 21:16:30,000	1,38	27,86
101	03.09.2017 21:16:40,000	1,46	27,72
102	03.09.2017 21:16:50,000	1,57	27,38
103	03.09.2017 21:17:00,000	1,61	27,19
104	03.09.2017 21:17:10,000	0,98	27,14
105	03.09.2017 21:17:20,000	0,77	26,17
106	03.09.2017 21:17:30,000	0,61	25,97
107	03.09.2017 21:17:40,000	0,37	25,44
108	03.09.2017 21:17:50,000	0,16	25,43
109	03.09.2017 21:18:00,000	0,04	25,04
110	03.09.2017 21:18:10,000	-0,04	24,95
111	03.09.2017 21:18:20,000	-0,12	24,85
112	03.09.2017 21:18:30,000	-0,12	24,85
113	03.09.2017 21:18:40,000	-0,12	24,85
114	03.09.2017 21:18:50,000	-0,08	24,66
115	03.09.2017 21:19:00,000	0,00	24,75
116	03.09.2017 21:19:10,000	0,20	24,76
117	03.09.2017 21:19:20,000	0,33	24,91
118	03.09.2017 21:19:30,000	0,41	25,01
119	03.09.2017 21:19:40,000	0,45	25,30
120	03.09.2017 21:19:50,000	0,49	25,10
121	03.09.2017 21:20:00,000	0,53	25,63
122	03.09.2017 21:20:10,000	0,53	26,36
123	03.09.2017 21:20:20,000	0,61	27,18
124	03.09.2017 21:20:30,000	0,65	28,43
125	03.09.2017 21:20:40,000	1,02	29,83
126	03.09.2017 21:20:50,000	0,81	31,52
127	03.09.2017 21:21:00,000	0,81	33,45
128	03.09.2017 21:21:10,000	0,69	34,02
129	03.09.2017 21:21:20,000	0,69	34,02
130	03.09.2017 21:21:30,000	0,73	33,11
131	03.09.2017 21:21:40,000	0,81	32,48
132	03.09.2017 21:21:50,000	0,81	32,24
133	03.09.2017 21:22:00,000	0,86	32,29
134	03.09.2017 21:22:10,000	0,86	32,53
135	03.09.2017 21:22:20,000	0,86	32,53
136	03.09.2017 21:22:30,000	0,86	32,53
137	03.09.2017 21:22:40,000	0,86	32,53
138	03.09.2017 21:22:50,000	0,86	33,01
139	03.09.2017 21:23:00,000	0,86	33,74
140	03.09.2017 21:23:10,000	0,77	34,60
141	03.09.2017 21:23:20,000	0,61	35,13
142	03.09.2017 21:23:30,000	0,53	35,76
143	03.09.2017 21:23:40,000	0,65	35,90
144	03.09.2017 21:23:50,000	0,69	36,68
145	03.09.2017 21:24:00,000	0,90	37,40
146	03.09.2017 21:24:10,000	1,02	38,27
147	03.09.2017 21:24:20,000	1,02	39,24
148	03.09.2017 21:24:30,000	1,06	39,77
149	03.09.2017 21:24:40,000	1,22	40,69
150	03.09.2017 21:24:50,000	1,34	41,31
151	03.09.2017 21:25:00,000	1,50	42,47
152	03.09.2017 21:25:10,000	1,54	43,24
153	03.09.2017 21:25:20,000	1,77	44,01
154	03.09.2017 21:25:30,000	1,77	44,74
155	03.09.2017 21:25:40,000	1,73	45,90
156	03.09.2017 21:25:50,000	1,54	47,10
157	03.09.2017 21:26:00,000	1,42	47,92
158	03.09.2017 21:26:10,000	1,61	48,16
159	03.09.2017 21:26:20,000	1,93	48,79
160	03.09.2017 21:26:30,000	2,13	49,75
161	03.09.2017 21:26:40,000	2,13	50,96
162	03.09.2017 21:26:50,000	2,16	51,97
