#B	Created:	03.09.2017 23:48:01
##	Version	SeaStar	7.49
#5	Field separation:	0
#2	Date & Time:	1
#6	Decimal point:	,
#7	Date def.:	dd.mm.yyyy	.
#8	Time def.:	:
##	Axis	0	Temperature(°C)	clRed	FALSE
##	Axis	1	Depth(m)	clBlue	TRUE
##	Series	0	Temp(°C)	clRed	0	Temp(°C)	2
##	Series	1	Depth(m)	clBlue	1	Depth(m)	2
##	Recorder	53	DST centi	8047
##	Chart	53C8047DAT	
#D	Data:	1006	03.09.2017 21:00:00	03.09.2017 23:47:30
1	03.09.2017 21:00:00,000	21,21	0,00
2	03.09.2017 21:00:10,000	21,21	0,00
3	03.09.2017 21:00:20,000	21,18	0,00
4	03.09.2017 21:00:30,000	21,18	0,00
5	03.09.2017 21:00:40,000	21,18	0,00
6	03.09.2017 21:00:50,000	21,18	0,00
7	03.09.2017 21:01:00,000	21,18	0,00
8	03.09.2017 21:01:10,000	21,18	0,00
9	03.09.2017 21:01:20,000	21,18	0,00
10	03.09.2017 21:01:30,000	21,15	0,00
11	03.09.2017 21:01:40,000	21,15	0,00
12	03.09.2017 21:01:50,000	21,15	0,00
13	03.09.2017 21:02:00,000	21,15	0,00
14	03.09.2017 21:02:10,000	21,15	0,00
15	03.09.2017 21:02:20,000	21,15	0,00
16	03.09.2017 21:02:30,000	21,15	0,00
17	03.09.2017 21:02:40,000	21,15	0,00
18	03.09.2017 21:02:50,000	21,12	0,00
19	03.09.2017 21:03:00,000	21,12	0,00
20	03.09.2017 21:03:10,000	21,12	0,00
21	03.09.2017 21:03:20,000	21,12	0,00
22	03.09.2017 21:03:30,000	21,12	0,00
23	03.09.2017 21:03:40,000	21,12	0,00
24	03.09.2017 21:03:50,000	21,12	0,00
25	03.09.2017 21:04:00,000	20,21	0,00
26	03.09.2017 21:04:10,000	14,45	2,86
27	03.09.2017 21:04:20,000	12,07	3,99
28	03.09.2017 21:04:30,000	11,23	2,41
29	03.09.2017 21:04:40,000	10,13	3,09
30	03.09.2017 21:04:50,000	9,27	3,99
31	03.09.2017 21:05:00,000	8,63	5,84
32	03.09.2017 21:05:10,000	8,12	8,02
33	03.09.2017 21:05:20,000	7,78	10,07
34	03.09.2017 21:05:30,000	7,26	11,78
35	03.09.2017 21:05:40,000	6,92	13,15
36	03.09.2017 21:05:50,000	6,67	13,45
37	03.09.2017 21:06:00,000	6,43	12,62
38	03.09.2017 21:06:10,000	6,25	12,74
39	03.09.2017 21:06:20,000	6,15	12,90
40	03.09.2017 21:06:30,000	6,04	12,38
41	03.09.2017 21:06:40,000	6,00	12,36
42	03.09.2017 21:06:50,000	5,97	13,02
43	03.09.2017 21:07:00,000	5,93	14,35
44	03.09.2017 21:07:10,000	5,83	15,87
45	03.09.2017 21:07:20,000	5,68	16,46
46	03.09.2017 21:07:30,000	5,43	16,76
47	03.09.2017 21:07:40,000	5,32	16,24
48	03.09.2017 21:07:50,000	5,47	15,88
49	03.09.2017 21:08:00,000	5,43	15,85
50	03.09.2017 21:08:10,000	5,43	15,40
51	03.09.2017 21:08:20,000	5,47	15,20
52	03.09.2017 21:08:30,000	5,50	14,99
53	03.09.2017 21:08:40,000	5,50	14,99
54	03.09.2017 21:08:50,000	5,50	14,77
55	03.09.2017 21:09:00,000	5,50	14,77
56	03.09.2017 21:09:10,000	5,50	14,54
57	03.09.2017 21:09:20,000	5,50	14,54
58	03.09.2017 21:09:30,000	5,50	14,77
59	03.09.2017 21:09:40,000	5,50	15,22
60	03.09.2017 21:09:50,000	5,47	15,65
61	03.09.2017 21:10:00,000	5,40	15,61
62	03.09.2017 21:10:10,000	5,22	17,53
63	03.09.2017 21:10:20,000	5,04	18,55
64	03.09.2017 21:10:30,000	4,85	20,02
65	03.09.2017 21:10:40,000	4,64	21,24
66	03.09.2017 21:10:50,000	4,56	22,56
67	03.09.2017 21:11:00,000	4,08	23,84
68	03.09.2017 21:11:10,000	3,75	24,54
69	03.09.2017 21:11:20,000	3,53	24,85
70	03.09.2017 21:11:30,000	3,19	25,55
71	03.09.2017 21:11:40,000	3,00	25,43
72	03.09.2017 21:11:50,000	2,81	25,54
73	03.09.2017 21:12:00,000	2,70	25,46
74	03.09.2017 21:12:10,000	2,58	25,62
75	03.09.2017 21:12:20,000	2,50	25,35
76	03.09.2017 21:12:30,000	2,43	25,52
77	03.09.2017 21:12:40,000	2,39	25,05
78	03.09.2017 21:12:50,000	2,43	24,62
79	03.09.2017 21:13:00,000	2,47	23,96
80	03.09.2017 21:13:10,000	2,62	23,38
81	03.09.2017 21:13:20,000	2,66	22,95
82	03.09.2017 21:13:30,000	2,23	22,23
83	03.09.2017 21:13:40,000	2,54	21,52
84	03.09.2017 21:13:50,000	2,73	20,73
85	03.09.2017 21:14:00,000	2,73	20,06
86	03.09.2017 21:14:10,000	2,89	19,25
87	03.09.2017 21:14:20,000	3,19	19,43
88	03.09.2017 21:14:30,000	3,04	20,02
89	03.09.2017 21:14:40,000	2,96	20,42
90	03.09.2017 21:14:50,000	2,92	20,17
91	03.09.2017 21:15:00,000	2,92	19,95
92	03.09.2017 21:15:10,000	2,96	19,97
93	03.09.2017 21:15:20,000	2,96	19,75
94	03.09.2017 21:15:30,000	3,00	19,54
95	03.09.2017 21:15:40,000	3,11	19,39
96	03.09.2017 21:15:50,000	3,30	19,05
97	03.09.2017 21:16:00,000	3,53	18,74
98	03.09.2017 21:16:10,000	3,64	18,81
99	03.09.2017 21:16:20,000	3,71	18,63
100	03.09.2017 21:16:30,000	3,79	18,45
101	03.09.2017 21:16:40,000	3,86	18,50
102	03.09.2017 21:16:50,000	4,16	18,00
103	03.09.2017 21:17:00,000	4,38	17,91
104	03.09.2017 21:17:10,000	4,49	17,53
105	03.09.2017 21:17:20,000	4,01	17,01
106	03.09.2017 21:17:30,000	3,97	16,30
107	03.09.2017 21:17:40,000	3,97	16,08
108	03.09.2017 21:17:50,000	4,01	15,87
109	03.09.2017 21:18:00,000	4,05	15,90
110	03.09.2017 21:18:10,000	4,08	15,69
111	03.09.2017 21:18:20,000	4,12	15,72
112	03.09.2017 21:18:30,000	4,12	15,49
113	03.09.2017 21:18:40,000	4,12	15,72
114	03.09.2017 21:18:50,000	4,20	15,54
115	03.09.2017 21:19:00,000	4,27	15,58
116	03.09.2017 21:19:10,000	4,31	15,83
117	03.09.2017 21:19:20,000	4,34	16,08
118	03.09.2017 21:19:30,000	4,34	16,08
119	03.09.2017 21:19:40,000	4,42	16,13
120	03.09.2017 21:19:50,000	4,49	16,17
121	03.09.2017 21:20:00,000	4,60	16,02
122	03.09.2017 21:20:10,000	4,64	16,94
123	03.09.2017 21:20:20,000	4,53	18,23
124	03.09.2017 21:20:30,000	4,31	19,23
125	03.09.2017 21:20:40,000	4,08	20,90
126	03.09.2017 21:20:50,000	3,75	22,73
127	03.09.2017 21:21:00,000	3,34	24,28
128	03.09.2017 21:21:10,000	2,70	25,24
129	03.09.2017 21:21:20,000	2,08	25,76
130	03.09.2017 21:21:30,000	1,77	25,11
131	03.09.2017 21:21:40,000	1,69	24,16
132	03.09.2017 21:21:50,000	1,57	23,86
133	03.09.2017 21:22:00,000	1,57	23,63
134	03.09.2017 21:22:10,000	1,50	23,81
