#B	Created:	30.08.2017 14:32:22
##	Version	SeaStar	7.49
#5	Field separation:	0
#2	Date & Time:	1
#6	Decimal point:	,
#7	Date def.:	dd.mm.yyyy	.
#8	Time def.:	:
##	Axis	0	Temperature(°C)	clRed	FALSE
##	Axis	1	Depth(m)	clBlue	TRUE
##	Series	0	Temp(°C)	clRed	0	Temp(°C)	2
##	Series	1	Depth(m)	clBlue	1	Depth(m)	2
##	Recorder	42	DST centi	8047
##	Chart	42C8047DAT	
#D	Data:	248	30.08.2017 13:50:00	30.08.2017 14:31:10
1	30.08.2017 13:50:00,000	22,43	0,00
2	30.08.2017 13:50:10,000	22,40	0,00
3	30.08.2017 13:50:20,000	22,40	0,00
4	30.08.2017 13:50:30,000	22,40	0,00
5	30.08.2017 13:50:40,000	22,40	0,00
6	30.08.2017 13:50:50,000	22,40	0,00
7	30.08.2017 13:51:00,000	22,43	0,00
8	30.08.2017 13:51:10,000	22,43	0,00
9	30.08.2017 13:51:20,000	22,43	0,00
10	30.08.2017 13:51:30,000	22,43	0,00
11	30.08.2017 13:51:40,000	22,43	0,00
12	30.08.2017 13:51:50,000	22,46	0,00
13	30.08.2017 13:52:00,000	22,46	0,00
14	30.08.2017 13:52:10,000	22,46	0,00
15	30.08.2017 13:52:20,000	22,46	0,00
16	30.08.2017 13:52:30,000	22,46	0,00
17	30.08.2017 13:52:40,000	22,49	0,00
18	30.08.2017 13:52:50,000	22,49	0,00
19	30.08.2017 13:53:00,000	22,49	0,00
20	30.08.2017 13:53:10,000	22,52	0,00
21	30.08.2017 13:53:20,000	22,52	0,00
22	30.08.2017 13:53:30,000	22,55	0,00
23	30.08.2017 13:53:40,000	22,55	0,00
24	30.08.2017 13:53:50,000	22,58	0,00
25	30.08.2017 13:54:00,000	22,58	0,00
26	30.08.2017 13:54:10,000	22,58	0,00
27	30.08.2017 13:54:20,000	22,58	0,00
28	30.08.2017 13:54:30,000	22,55	0,00
29	30.08.2017 13:54:40,000	22,55	0,00
30	30.08.2017 13:54:50,000	22,52	0,00
31	30.08.2017 13:55:00,000	22,49	0,00
32	30.08.2017 13:55:10,000	22,46	0,00
33	30.08.2017 13:55:20,000	22,43	0,00
34	30.08.2017 13:55:30,000	22,34	0,00
35	30.08.2017 13:55:40,000	22,23	0,00
36	30.08.2017 13:55:50,000	22,14	0,00
37	30.08.2017 13:56:00,000	22,05	0,00
38	30.08.2017 13:56:10,000	21,97	0,00
39	30.08.2017 13:56:20,000	21,88	0,00
40	30.08.2017 13:56:30,000	21,79	0,00
41	30.08.2017 13:56:40,000	21,67	0,00
42	30.08.2017 13:56:50,000	21,59	0,00
43	30.08.2017 13:57:00,000	21,50	0,00
