#B	Created:	05.09.2017 21:19:31
##	Version	SeaStar	7.49
#5	Field separation:	0
#2	Date & Time:	1
#6	Decimal point:	,
#7	Date def.:	dd.mm.yyyy	.
#8	Time def.:	:
##	Axis	0	Temperature(°C)	clRed	FALSE
##	Axis	1	Depth(m)	clBlue	TRUE
##	Series	0	Temp(°C)	clRed	0	Temp(°C)	2
##	Series	1	Depth(m)	clBlue	1	Depth(m)	2
##	Recorder	12	DST centi	8762
##	Chart	12C8762DAT	
#D	Data:	913	05.09.2017 18:45:00	05.09.2017 21:17:00
1	05.09.2017 18:45:00,000	21,81	1,00
2	05.09.2017 18:45:10,000	21,78	0,96
3	05.09.2017 18:45:20,000	21,76	0,93
4	05.09.2017 18:45:30,000	21,73	1,13
5	05.09.2017 18:45:40,000	21,70	0,86
6	05.09.2017 18:45:50,000	21,67	1,07
7	05.09.2017 18:46:00,000	21,64	0,79
8	05.09.2017 18:46:10,000	21,61	0,76
9	05.09.2017 18:46:20,000	21,58	0,96
10	05.09.2017 18:46:30,000	21,55	0,93
11	05.09.2017 18:46:40,000	21,52	1,14
12	05.09.2017 18:46:50,000	21,49	0,86
13	05.09.2017 18:47:00,000	21,46	1,07
14	05.09.2017 18:47:10,000	21,43	0,79
15	05.09.2017 18:47:20,000	21,38	0,96
16	05.09.2017 18:47:30,000	21,35	0,93
17	05.09.2017 18:47:40,000	21,32	0,89
18	05.09.2017 18:47:50,000	21,29	0,86
19	05.09.2017 18:48:00,000	21,26	1,07
20	05.09.2017 18:48:10,000	21,23	1,03
21	05.09.2017 18:48:20,000	21,20	1,00
22	05.09.2017 18:48:30,000	21,17	0,96
23	05.09.2017 18:48:40,000	21,11	0,89
24	05.09.2017 18:48:50,000	21,08	1,10
25	05.09.2017 18:49:00,000	21,03	0,79
26	05.09.2017 18:49:10,000	21,00	0,76
27	05.09.2017 18:49:20,000	20,97	0,96
28	05.09.2017 18:49:30,000	20,94	0,93
29	05.09.2017 18:49:40,000	20,88	1,10
30	05.09.2017 18:49:50,000	20,85	0,82
31	05.09.2017 18:50:00,000	20,82	0,79
32	05.09.2017 18:50:10,000	20,76	0,96
33	05.09.2017 18:50:20,000	20,73	1,17
34	05.09.2017 18:50:30,000	20,27	5,18
35	05.09.2017 18:50:40,000	13,74	11,77
36	05.09.2017 18:50:50,000	9,99	13,91
37	05.09.2017 18:51:00,000	8,69	12,78
38	05.09.2017 18:51:10,000	7,52	14,23
39	05.09.2017 18:51:20,000	6,61	16,48
40	05.09.2017 18:51:30,000	5,62	18,13
41	05.09.2017 18:51:40,000	4,59	20,72
42	05.09.2017 18:51:50,000	3,70	23,71
43	05.09.2017 18:52:00,000	2,71	27,08
44	05.09.2017 18:52:10,000	2,05	29,64
45	05.09.2017 18:52:20,000	1,30	32,58
46	05.09.2017 18:52:30,000	1,26	32,05
47	05.09.2017 18:52:40,000	0,98	30,99
48	05.09.2017 18:52:50,000	0,69	30,41
49	05.09.2017 18:53:00,000	0,41	30,07
50	05.09.2017 18:53:10,000	0,20	29,58
51	05.09.2017 18:53:20,000	0,08	31,36
52	05.09.2017 18:53:30,000	0,12	33,82
53	05.09.2017 18:53:40,000	0,12	35,99
54	05.09.2017 18:53:50,000	0,00	37,05
55	05.09.2017 18:54:00,000	-0,08	37,19
56	05.09.2017 18:54:10,000	-0,17	36,85
57	05.09.2017 18:54:20,000	-0,21	36,80
58	05.09.2017 18:54:30,000	-0,25	36,51
59	05.09.2017 18:54:40,000	-0,29	36,46
60	05.09.2017 18:54:50,000	-0,29	36,22
61	05.09.2017 18:55:00,000	-0,29	35,49
62	05.09.2017 18:55:10,000	-0,29	35,49
63	05.09.2017 18:55:20,000	-0,29	37,18
64	05.09.2017 18:55:30,000	-0,29	38,15
65	05.09.2017 18:55:40,000	-0,33	40,51
66	05.09.2017 18:55:50,000	-0,25	42,54
67	05.09.2017 18:56:00,000	-0,29	44,66
68	05.09.2017 18:56:10,000	-0,29	46,59
69	05.09.2017 18:56:20,000	-0,29	47,79
70	05.09.2017 18:56:30,000	-0,33	47,74
71	05.09.2017 18:56:40,000	-0,33	46,78
72	05.09.2017 18:56:50,000	-0,33	46,06
73	05.09.2017 18:57:00,000	-0,33	44,37
