#B	Created:	29.08.2017 09:10:07
##	Version	SeaStar	7.49
#5	Field separation:	0
#2	Date & Time:	1
#6	Decimal point:	,
#7	Date def.:	dd.mm.yyyy	.
#8	Time def.:	:
##	Axis	0	Temperature(°C)	clRed	FALSE
##	Axis	1	Depth(m)	clBlue	TRUE
##	Series	0	Temp(°C)	clRed	0	Temp(°C)	2
##	Series	1	Depth(m)	clBlue	1	Depth(m)	2
##	Recorder	4	DST centi	8762
##	Chart	4C8762DAT	
#D	Data:	185	29.08.2017 08:39:00	29.08.2017 09:09:40
1	29.08.2017 08:39:00,000	22,16	1,17
2	29.08.2017 08:39:10,000	22,16	0,93
3	29.08.2017 08:39:20,000	22,16	1,17
4	29.08.2017 08:39:30,000	22,16	1,17
5	29.08.2017 08:39:40,000	22,16	1,17
6	29.08.2017 08:39:50,000	22,16	1,17
7	29.08.2017 08:40:00,000	22,13	1,13
8	29.08.2017 08:40:10,000	22,13	1,13
9	29.08.2017 08:40:20,000	22,13	1,13
10	29.08.2017 08:40:30,000	22,13	1,13
11	29.08.2017 08:40:40,000	22,13	1,13
12	29.08.2017 08:40:50,000	22,10	1,10
13	29.08.2017 08:41:00,000	22,10	1,10
14	29.08.2017 08:41:10,000	22,10	1,10
15	29.08.2017 08:41:20,000	22,10	1,10
16	29.08.2017 08:41:30,000	22,10	1,34
17	29.08.2017 08:41:40,000	22,10	1,34
18	29.08.2017 08:41:50,000	22,08	1,06
19	29.08.2017 08:42:00,000	22,08	1,06
20	29.08.2017 08:42:10,000	22,08	1,06
21	29.08.2017 08:42:20,000	22,08	1,06
22	29.08.2017 08:42:30,000	22,08	1,06
23	29.08.2017 08:42:40,000	22,05	1,03
24	29.08.2017 08:42:50,000	22,05	1,03
25	29.08.2017 08:43:00,000	22,05	1,27
26	29.08.2017 08:43:10,000	22,02	1,24
27	29.08.2017 08:43:20,000	22,02	1,24
28	29.08.2017 08:43:30,000	22,02	1,24
29	29.08.2017 08:43:40,000	22,02	1,24
30	29.08.2017 08:43:50,000	21,99	1,20
31	29.08.2017 08:44:00,000	21,99	1,20
32	29.08.2017 08:44:10,000	21,96	1,41
33	29.08.2017 08:44:20,000	21,96	1,17
34	29.08.2017 08:44:30,000	21,96	1,41
35	29.08.2017 08:44:40,000	21,93	1,13
36	29.08.2017 08:44:50,000	21,93	1,13
37	29.08.2017 08:45:00,000	21,90	1,34
38	29.08.2017 08:45:10,000	21,90	1,10
39	29.08.2017 08:45:20,000	21,90	1,34
40	29.08.2017 08:45:30,000	21,87	1,31
41	29.08.2017 08:45:40,000	21,84	1,03
42	29.08.2017 08:45:50,000	21,84	1,27
43	29.08.2017 08:46:00,000	21,81	1,24
44	29.08.2017 08:46:10,000	21,52	1,62
45	29.08.2017 08:46:20,000	21,20	1,72
46	29.08.2017 08:46:30,000	20,94	1,89
47	29.08.2017 08:46:40,000	20,68	2,06
48	29.08.2017 08:46:50,000	20,41	2,23
49	29.08.2017 08:47:00,000	15,59	10,65
50	29.08.2017 08:47:10,000	12,00	10,37
