Cruise,Date,Fixed_Station,Seq_Station,Gear,Species,Fish_Num,SL_mm,FL_mm,RNAlater?,RNA_Later_Vial,Sex,Maturity ,Evisc_Weight (g),Gut_Bagged?,Liver_Bagged?,Musc_Bagged?,Head_Bagged?,Frozen_Whole?,Comments
SKQ201713S,170830,2.2,5,mid_water,B.saida,1,94,100.5,y,5_1,na,na,na,n,n,n,n,y,
SKQ201713S,170830,2.2,5,mid_water,B.saida,2,84,89,y,5_2,na,na,na,n,n,n,n,y,
SKQ201713S,170902,4.5,51,mid_water,B.saida,1,253,278,n,,f,spent,164,y,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,2,156,177,n,,unknown,na,31,y,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,3,122,135,n,,unknown,na,16.5,y,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,4,255,288,n,,f?,?,187,y,y,y,y,n,twisty ovaries
SKQ201713S,170902,4.5,51,mid_water,B.saida,5,147,160,n,,f?,im,20,y,y,y,y,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,6,122,134,n,,f?,?,14,y,y,y,y,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,7,147,161,n,,f,im,22,y,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,8,108,118,n,,f,im,10,y,y,y,y,n,
SKQ201713S,170902,4.5,51,mid_water,B.saida,9,196,220,n,,f,?,54,y,y,y,y,n,early adult
SKQ201713S,170902,4.5,51,mid_water,B.saida,10,126,143,n,,f,?,17,y,y,y,y,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,11,127,144,n,,f,im,15,n,y,y,y,n,no stomach (barotrauma)
SKQ201713S,170902,4.5,51,mid_water,B.saida,12,153,166,n,,f,?,21.5,y,y,y,y,n,twisty nads
SKQ201713S,170902,4.5,51,mid_water,B.saida,13,118,132,n,,f,?,15,y,y,y,y,n,twisty nads
