Cruise,Date,Fixed_Station,Seq_Station,Gear,Net,Species,No_Fish,Time_Local,Probable Water Mass,Comments
SKQ201713S,170830,2.2,5,Ring,Na,B.saida,8,,,
SKQ201713S,170830,2.2,5,Tucker,0,B.saida,8,,,Net open on up and down; Net did not fire (TT Cast 1); no label in bag
SKQ201713S,170830,2.2,5,Tucker,1,B.saida,2,,,Cast 2 on St5 
SKQ201713S,170830,2.2,5,Tucker,3,B.saida,4,,,Cast 2 on St5 
SKQ201713S,170830,2.4,7,Tucker,2,B.saida,6,,,
SKQ201713S,170830,2.4,7,Tucker ,3,B.saida,4,,,
SKQ201713S,170830,2.6,9,Tucker,2,B.saida,1,1540,,
SKQ201713S,170830,2.6,9,Bongo,500,B.saida,2,,,very small
SKQ201713S,170830,2.6,9,Bongo,150,B.saida,1,,,
SKQ201713S,170830,2.8,11,Tucker,1,B.saida,2,,,
SKQ201713S,170830,2.8,11,Tucker,2,B.saida,2,,,
SKQ201713S,170830,2.8,11,Tucker,3,B.saida,1,,,
SKQ201713S,170830,2.10,13,Tucker,1,B.saida,3,,,
SKQ201713S,170830,2.10,13,Bongo,150,B.saida,3,,,
SKQ201713S,170831,4.1,20,Bongo,500,B.saida,2,,,
SKQ201713S,170831,4.1,20,Tucker,3,B.saida,5,,,
SKQ201713S,170831,4.3,22,Tucker,1,B.saida,4,,,
SKQ201713S,170831,4.3,22,Tucker,2,B.saida,1,,,
SKQ201713S,170831,4.3,22,Tucker,3,B.saida,2,,,
SKQ201713S,170831,4.3,22,Bongo,500,B.saida,2,,,
SKQ201713S,170831,4.5,24,Tucker,3,B.saida,2,,,"Cast hit bottom, was re-done; no volume to line up with"
SKQ201713S,170831,4.5,24,Bongo,150,B.saida,6,,,Stn 24 Bongo 150 & 500 in same bag
SKQ201713S,170831,4.5,24,Bongo,500,B.saida,4,,,Stn 24 Bongo 150 & 500 in same bag
SKQ201713S,170831,4.5,24,Tucker,1,B.saida,3,,,
SKQ201713S,170831,4.5,24,Tucker,3,B.saida,7,,,
SKQ201713S,170831,4.5,24,Tucker,2,B.saida,1,,,
SKQ201713S,170831,4.7,26,Tucker,2,B.saida,20,,,
SKQ201713S,170831,4.7,26,Tucker,3,B.saida,5,,,
SKQ201713S,170831,4.7,26,Tucker,1,B.saida,1,,,55mm TL
SKQ201713S,170831,4.7,26,Bongo,500,B.saida,5,,,
SKQ201713S,170831,4.7,26,Bongo,150,B.saida,4,,,
SKQ201713S,170901,2.2,37,Tucker,3,B.saida,2,,,
SKQ201713S,170901,2.2,37,Bongo,500,B.saida,1,,,Stn 37 Bongo 150 & 500 in same bag
SKQ201713S,170901,2.2,37,Bongo,150,B.saida,1,,,Stn 37 Bongo 150 & 500 in same bag
SKQ201713S,170901,2.4,39,Bongo,500,B.saida,2,,,
SKQ201713S,,2..4,39,Tucker,1,B.saida,1,,,
SKQ201713S,,2.4,39,Tucker,3,B.saida,5,,,
SKQ201713S,,2.4,39,Tucker,2,B.saida,0,,,"1 fish removed, examined, and discarded"
SKQ201713S,,2.6,42,Tucker,2,B.saida,1,,,
SKQ201713S,,2.6,42,Bongo,150,B.saida,1,,,
SKQ201713S,,2.6,42,Bongo,500,B.saida,2,,,
SKQ201713S,,2.8,44,Tucker,1,B.saida,52,,,One net for complete to-yo
SKQ201713S,,2.8,44,Bongo,500,B.saida,2,,,
SKQ201713S,,2.10,46,Tucker,1,B.saida,40,,,
